max.length,hatchlingmass,hacthlinglength
220,2.12,52.1
122,1.16,33.1
138,1.35,35.3
120,1.1,35
87,0.94,34
111,1.02,33.1
194,3.95,52.9
160,2.55,50.4
96,0.6,24.5
69,0.3,24
